book_id,title,author,author_2,additional_authors,ISBN,ISBN13,my_rating,average_rating,Publisher,Binding,number_of_pages,year_published,original_publication_year,date_read,date_added,Bookshelves,bookshelves_status,exclusive_self,my_review,Spoiler,private_notes,read_count,owned_copies,genre,
194802722,Funny Story,Emily Henry,"Henry, Emily",,,,3,4.22,Berkley,Kindle Edition,400,2024.0,2024.0,2024/07/18,2023/08/11,,,read,,,,1,0,Fiction,
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,62218360,9780062218360,4,3.86,William Morrow,Kindle Edition,0,2014.0,2014.0,2024/07/14,2020/06/26,,,read,,,,1,0,Business & Economics,
176443453,Greta & Valdin,Rebecca K. Reilly,"Reilly, Rebecca K.",,1668028042,9781668028049,0,3.98,Avid Reader Press / Simon & Schuster,Hardcover,352,2024.0,2021.0,,2024/07/12,to-read,to-read (#158),to-read,,,,0,0,Fiction,
61918816,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby",,1538704390,9781538704394,3,4.31,Forever,Paperback,416,2023.0,2023.0,2024/06/24,2024/06/24,,,read,,,,1,0,Fiction,
181346634,There's Always This Year: On Basketball and Ascension,Hanif Abdurraqib,"Abdurraqib, Hanif",,593448790,9780593448793,0,4.33,Random House,Hardcover,352,2024.0,2024.0,,2024/06/22,to-read,to-read (#157),to-read,,,,0,0,Science,
186872432,Parasol Against the Axe,Helen Oyeyemi,"Oyeyemi, Helen",,593192362,9780593192368,0,3.1,Riverhead Books,Hardcover,272,2024.0,2024.0,,2024/06/22,to-read,to-read (#156),to-read,,,,0,0,Fiction,
6480781,Open,Andre Agassi,"Agassi, Andre","J.R. Moehringer, Андре Агаси",307268195,9780307268198,5,4.31,Knopf,Hardcover,388,2009.0,2009.0,2024/06/04,2024/06/04,,,read,,,,1,0,Biography & Autobiography,
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,1400064287,9781400064281,3,3.99,Random House,Hardcover,291,2007.0,2006.0,2024/05/25,2024/05/25,,,read,,,,1,0,Business & Economics,
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,,9780143115267,0,3.84,Penguin Books,Paperback,260,2009.0,2008.0,,2024/05/25,to-read,to-read (#155),to-read,,,,0,0,Business & Economics,
96177629,Good Material,Dolly Alderton,"Alderton, Dolly",,241523672,9780241523674,4,3.86,Fig Tree,Paperback,345,2023.0,2023.0,2024/05/17,2023/11/27,,,read,,,,1,0,Fiction,
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,62968785,9780062968784,0,3.97,Harper,Hardcover,368,2020.0,2018.0,,2024/05/14,to-read,to-read (#154),to-read,,,,0,0,Biography & Autobiography,
58446244,When We Lost Our Heads,Heather O'Neill,"O'Neill, Heather",,593422902,9780593422908,0,3.96,Riverhead Books,Hardcover,448,2022.0,2022.0,,2024/05/01,to-read,to-read (#153),to-read,,,,0,0,Fiction,
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,593321448,9780593321447,0,4.07,Knopf,Hardcover,259,2022.0,2022.0,,2024/05/01,to-read,to-read (#152),to-read,,,,0,0,Fiction,
48570454,Transcendent Kingdom,Yaa Gyasi,"Gyasi, Yaa",,,,0,4.11,Knopf,Hardcover,264,2020.0,2020.0,,2024/04/30,to-read,to-read (#151),to-read,,,,0,0,Fiction,
14891,A Tree Grows in Brooklyn,Betty  Smith,"Smith, Betty",,61120073,9780061120077,0,4.3,HarperCollins Publishers,Paperback,496,2006.0,1943.0,,2024/04/30,to-read,to-read (#150),to-read,,,,0,0,Fiction,
43848929,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,316478520,9780316478526,4,4.0,"Little, Brown and Company",Hardcover,388,2019.0,2019.0,2024/04/30,2024/04/30,,,read,,,,1,0,Science,
55252533,"Nine Nasty Words: English in the Gutter — Then, Now, and Forever",John McWhorter,"McWhorter, John",,593188802,9780593188804,3,3.95,Avery,Kindle Edition,286,2021.0,2021.0,2024/04/21,2024/04/21,,,read,,,,1,0,Language Arts,
46168432,Duped: Truth-Default Theory and the Social Science of Lying and Deception,Timothy R. Levine,"Levine, Timothy R.",,817320415,9780817320416,0,3.53,University Alabama Press,Hardcover,384,2019.0,,,2024/04/20,to-read,to-read (#149),to-read,,,,0,0,Business & Economics,
181110028,The Great Divide,Cristina Henríquez,"Henríquez, Cristina",,63291320,9780063291324,0,3.67,Ecco,Hardcover,321,2024.0,2024.0,,2024/04/17,to-read,to-read (#148),to-read,,,,0,0,Fiction,
63193458,Tiny Beautiful Things: Advice from Dear Sugar,Cheryl Strayed,"Strayed, Cheryl",Steve Almond,593685210,9780593685211,0,4.16,Vintage,Paperback,400,2022.0,2012.0,,2024/04/17,to-read,to-read (#147),to-read,,,,0,0,Biography & Autobiography,
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,,,4,4.39,Tor Books,Kindle Edition,394,2020.0,2020.0,2024/04/11,2024/02/04,,,read,,,,1,0,Fiction,
24886729,Stranger Than We Can Imagine: Making Sense of the Twentieth Century,John Higgs,"Higgs, John",J.M.R. Higgs,1593766262,9781593766269,0,4.24,Soft Skull,Paperback,356,2015.0,2015.0,,2024/04/08,to-read,to-read (#146),to-read,,,,0,0,History,
58684524,"Part of Your World (Part of Your World, #1)",Abby Jimenez,"Jimenez, Abby",,1538704374,9781538704370,3,4.28,Forever,Paperback,389,2022.0,2022.0,2024/03/26,2024/02/04,,,read,,,,1,0,Fiction,
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,,,3,4.44,St. Martin's Press,Kindle Edition,435,2018.0,2018.0,2024/03/23,2022/01/24,,,read,,,,1,0,Fiction,
40136,"The Nasty Bits: Collected Varietal Cuts, Usable Trim, Scraps, and Bones",Anthony Bourdain,"Bourdain, Anthony",,1582344515,9781582344515,4,3.89,Bloomsbury USA,Hardcover,288,2006.0,2005.0,2023/01/15,2023/01/15,,,read,,,,1,0,Biography & Autobiography,
62952130,The Vaster Wilds,Lauren Groff,"Groff, Lauren",,593418395,9780593418390,3,3.76,Riverhead Books,Hardcover,272,2023.0,2016.0,2024/03/07,2024/02/02,,,read,,,,1,0,Fiction,
58884736,The Measure,Nikki Erlick,"Erlick, Nikki",,63204207,9780063204201,2,3.98,William Morrow,Hardcover,353,2022.0,2022.0,2024/02/19,2023/11/19,,,read,,,,1,0,Fiction,
54304124,Laziness Does Not Exist,Devon  Price,"Price, Devon",,1982140100,9781982140106,0,3.92,Atria Books,Hardcover,256,2021.0,2021.0,,2024/02/19,to-read,to-read (#145),to-read,,,,0,0,Self-Help,
58210933,Trust,Hernan Diaz,"Diaz, Hernan",,593420314,9780593420317,0,3.82,Riverhead Books,Hardcover,402,2022.0,2022.0,,2024/02/17,to-read,to-read (#144),to-read,,,,0,0,Fiction,
53487237,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,"Saunders, George",,1984856049,9781984856043,4,4.54,Random House,Kindle Edition,403,2021.0,2021.0,2024/02/04,2023/11/17,,,read,,,,1,0,Language Arts,
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,,,5,4.47,Alfred A. Knopf,Hardcover,305,2016.0,2016.0,2024/02/04,2022/09/17,,,read,,,,1,0,Fiction,
50093704,In Five Years,Rebecca Serle,"Serle, Rebecca",,1982137444,9781982137441,2,3.78,Atria Books,Hardcover,272,2020.0,2020.0,2024/01/21,2024/01/21,,,read,,,,1,0,Fiction,
61102803,Invention and Innovation: A Brief History of Hype and Failure,Vaclav Smil,"Smil, Vaclav",,262048051,9780262048057,0,3.86,The MIT Press,Hardcover,232,2023.0,2023.0,,2024/01/16,to-read,to-read (#143),to-read,,,,0,0,Technology & Engineering,
145624737,Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet,Hannah Ritchie,"Ritchie, Hannah",,,9780316536752,0,4.26,"Little, Brown Spark",Hardcover,352,2024.0,2024.0,,2024/01/16,to-read,to-read (#142),to-read,,,,0,0,Business & Economics,
52346471,Firekeeper’s Daughter,Angeline Boulley,"Boulley, Angeline",,,,5,4.32,"Henry, Holt and Co. (BYR)",Hardcover,496,2021.0,2021.0,2024/01/10,2023/07/10,,,read,,,,1,0,Fiction,
60318890,"The Winners (Beartown, #3)",Fredrik Backman,"Backman, Fredrik",,,,4,4.45,Atria Books,Kindle Edition,671,2022.0,2022.0,2023/11/28,2023/11/28,,,read,,,,1,0,Fiction,
61355379,Halal Sex: The Intimate Lives of Muslim Women in North America,Sheima Benembarek,"Benembarek, Sheima",,735244227,9780735244221,0,3.86,Viking,Paperback,240,2023.0,2023.0,,2023/11/14,to-read,to-read (#141),to-read,,,,0,0,Biography & Autobiography,
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,63204150,9780063204157,3,4.37,Ecco,Hardcover,368,2022.0,,2023/11/10,2023/11/10,,,read,,,,1,0,Fiction,
